energy_link_1,time,energy_link_2,energy_link_3,energy_link_4,energy_link_5,energy_link_6
0.0013392788053103605,129.31280000204566,0.02628259597975326,0.018145410172439844,0.04106815570637988,0.05849737722112288,0.005996274990205068
0.0013407078310517673,129.322800002046,0.02666609631573195,0.018207057939700635,0.04121222505539611,0.058659414727719184,0.006012935546291329
0.001340349677446974,129.33280000204633,0.02701892187760014,0.018248789459985423,0.04130444529310013,0.058746594188404534,0.006021924543387649
0.001339569951199225,129.34280000204666,0.027390104645091062,0.018292362942361615,0.04139349336815725,0.05882537259134384,0.006030057169807573
0.0013383337911108493,129.352800002047,0.027710280648024655,0.0183274013381651,0.041457383679543755,0.058873298382424444,0.006035022749939756
0.0013381974633536727,129.36280000204732,0.02810315968181494,0.018388791154755994,0.04157227730596492,0.058986804183306665,0.006046718780848487
0.0013342979124116273,129.37280000204763,0.028407021526656667,0.018400848841452187,0.041568929258271305,0.05893335698364877,0.006041300385061186
0.0013364119671721172,129.382800002048,0.02882239804685633,0.01849671843411366,0.041749405060646866,0.05914223201708603,0.006062771695880167
0.001335314441111395,129.39280000204832,0.029184213366317196,0.018554420012877052,0.04183600387593032,0.059215683747257684,0.006070363842902321
0.001332641136104759,129.40280000204865,0.02952879444167138,0.018597028335966593,0.04188020919110655,0.05922648217457099,0.006071536752801996
0.0013313166355560263,129.41280000204898,0.029893115644013955,0.018660288374464745,0.04196526099624981,0.05929593125965459,0.006078721903751752
0.0013313059137722452,129.4228000020493,0.030277532242852664,0.01874367877787558,0.04209035368102,0.059422770495143655,0.006091790216420998
0.001326598800473937,129.43280000204965,0.030587724716446208,0.018771027665960036,0.042078834540972505,0.059352107956376444,0.006084617109183589
0.001326672713770828,129.44280000204998,0.030994260135061645,0.018866828469198932,0.042216162056542265,0.059492784419111884,0.0060991090544341665
0.0013248345130133202,129.4528000020503,0.031362385696119016,0.018940315038411575,0.04229620484873438,0.05955152238720017,0.006105202792201899
0.001323000697482411,129.46280000205064,0.03171992889020922,0.019015006639015092,0.042374538106113184,0.05960884950975498,0.006111151451486919
0.001320949700313834,129.47280000205097,0.032104395902400655,0.019097300181536,0.04245777331180416,0.0596685017955378,0.006117344174946621
0.0013172631933335947,129.4828000020513,0.03243628508377176,0.019156591517024615,0.04248589195636608,0.05965196550454426,0.006115725118143884
0.0013149257407362581,129.49280000205164,0.03280903962746512,0.019240773816518196,0.04256150488539304,0.059700738038530196,0.0061208038875891786
0.0013127002996278613,129.50280000205197,0.033185067029078315,0.019330210570296675,0.04264244243221128,0.059756534118922525,0.006126603877380648
0.0013119488268877341,129.5128000020523,0.033531742135900426,0.01942806349136744,0.042751147418794745,0.05985954030578463,0.006137235507901453
0.0013095902801136968,129.52280000205263,0.03396595082878807,0.019537775262804015,0.042850745816528375,0.0599327375386004,0.006144830576996165
0.001305149361783446,129.53280000205297,0.034312630791015285,0.019611630531799165,0.04287285550805871,0.059901507325674584,0.006141715027214958
0.001304301390900376,129.5428000020533,0.03472213119494254,0.019734622723001572,0.043004183698689497,0.060026605984112434,0.006154624341380958
0.0012997740673298815,129.55280000205363,0.035071851028886436,0.0198155463277514,0.043028190694522364,0.05999659768086602,0.006151636862349675
0.0012985393434317436,129.56280000205396,0.03549431068854876,0.019945714362383876,0.04315737555367066,0.060114971217877025,0.006163862074029133
0.001295663557252951,129.5728000020543,0.03587748952225803,0.02005562718495486,0.04323537140776505,0.060160961928856324,0.006168667381850313
